100 Meters (Men)
Maru Teferi, ISR, 2:04:44
Justin Kent, CAN, 2:09:29
Stephen Kissa, UGA, 2:04:48
Peter Lynch, IRL, 2:09:36
Hiko Tonosa Haso, IRL, 2:09:42
Aaron Gruen, AUT, 2:09:53
Sondre Nordstad Moen, NOR, 2:05:48
Naoki Koyama, JPN, 2:06:33
Ilham Tanui ÖzBilen, TUR, 2:08:36
Liam Boudin, AUS, 2:10:28
Abdi Waiss, DJI, 2:10:29
Ben Preisner, CAN, 2:08:58
Tendai Zimuto, ZIM, 2:09:30
Rui Pinto, POR, 2:11:23
Marcelo Laguera, MEX, 2:11:54
Minho Park, KOR, 2:10:13
Xiangdong Wu, CHN, 2:08:04
Johnatas de Oliveira, BRA, 2:10:43
Yves Nimubona, RWA, 2:13:01
Paulo Roberto Paula, BRA, 2:09:51
Segundo Jami, ECU, 2:09:05
Ser-Od Bat-Ochir, MGL, 2:08:50
Tiidrek Nurme, EST, 2:10:02
Dario Ivanovski, MKD, 2:08:26
Daniel Nghidinwa Paulus, NAM, 2:08:40
Nicolás Cuestas, URU, 2:11:03
Ederson Vilela Pereira, BRA, 2:12:32
Kiruhura Emmanuel Ntagunga, ART, 2:17:48
Shokhrukh Davlatov, UZB, 2:07:02
Omar Hassan, ART, 2:12:29
Maxim Răileanu, MDA, 2:09:22
Berhane Tsegay Tekle, ERI, 2:07:21
Byambajav Tseveenravdan, MGL, 2:09:03
Alphonce Felix Simbu, TAN, 2:04:38
Victor Kiplangat, UGA, 2:05:09
Yuya Yoshida, JPN, 2:05:16
Yohanes Chiappinelli, ITA, 2:05:24
Cameron Levins, CAN, 2:05:36
Yemaneberhan Crippa, ITA, 2:06:06
Emile Caïress, GBR, 2:06:46
Isaac Mpofu, ZIM, 2:06:48
Felicien Muhitira, RWA, 2:06:54
Zerei Kbrom Mezngi, NOR, 2:07:10
Abderrazak Charik, ALG, 2:07:20
Jacob Sommer Simonsen, DEN, 2:07:51
Clayton Young, USA, 2:08:00
Cristhian Zamora, URU, 2:09:04
Therence Bizoza, BDI, 2:09:18
Mateusz Kaczor, POL, 2:09:35
Tim Vincent, AUS, 2:09:40
Juan Pacheco, MEX, 2:09:45
Brian Shrader, USA, 2:09:46 (Alternate)
Reed Fischer, USA, 2:10:14
Rene Champi, PER, 2:10:18
Josephat Joshua Gisemo, TAN, 2:10:23
Samuel Freire, CPV, 2:11:01
Tom Hendrikse, NED, 2:11:07
Mohammed Benyettou, ALG, 2:11:22
Yaseen Abdalla, SUD, 2:11:41
Ferdinand Cereceda, PER, 2:12:19
3000 Meters Steeplechase (Men)
Soufiane El Bakkali, MAR, 7:56.68
Frederik Ruppert, GER, 8:01.49
Ryuji Miura, JPN, 8:03.43
Edmund Serem, KEN, 8:04.00
Samuel Firewu, ETH, 8:04.34
Salaheddine Ben Yazide, MAR, 8:06.44
Lamecha Girma, ETH, 8:07.01
Simon Kiprop Koech, KEN, 8:05.51
Getnet Wale, ETH, 8:07.12
Karl Bebendorf, GER, 8:08.21
Mohamed Amin Jhinaoui, TUN, 8:08.27
Ruben Querinjean, LUX, 8:09.47
Abraham Kibiwot, KEN, 8:10.13
Daniel Arce, ESP, 8:10.58
Isaac Updike, USA, 8:10.59
Nicolas-Marie Daru, FRA, 8:10.69
Louis Gilavert, FRA, 8:11.49
Djilali Bedrani, FRA, 8:11.52
Baptiste Fourmont, FRA, 8:12.10
Etson Barros, POR, 8:12.19
Nahuel Carabaña, AND, 8:12.80
Edward Trippas, AUS, 8:13.15
Alejandro Quijada, ESP, 8:13.40
Geordie Beamish, NZL, 8:13.86
Faid El Mostafa, MAR, 8:14.04
Niklas Buchholz, GER, 8:14.05
Daniel Michalski, USA, 8:14.07
Kenneth Rooks, USA, 8:14.25
Ala Zoghlami, ITA, 8:14.38
Jean-Simon Desgagnés, CAN, 8:14.40
Tim Van De Velde, BEL, 8:14.40
Nathan Mountain, USA, 8:14.43 (Alternate)
Vidar Johansson, SWE, 8:15.00
Leo Magnusson, SWE, 8:15.02
Mohamed Tindouft, MAR, 8:15.32
Ahmed Jaziri, TUN, 8:18.00
Leonard Chemutai, UGA, 8:28.61
Carlos San Martín, COL, 8:37.79
110 Meters Hurdles (Men)
Cordell Tinch, USA, 12.87
Rachid Muratake, JPN, 12.92
Just Kwaou-Mathey, FRA, 12.99
Trey Cunningham, USA, 13.00 (Alternate)
Ja’Kobe Tharp, USA, 13.01
Dylan Beard, USA, 13.02
Sasha Zhoya, FRA, 13.06
Jason Joseph, SUI, 13.07
Orlando Bennett, JAM, 13.10
Grant Holloway, USA, 13.11
Enrique Llopis, ESP, 13.12
Demario Prince, JAM, 13.12
Enzo Diessl, AUT, 13.17
Lorenzo Ndele Simonelli, ITA, 13.18
Wilhem Belocian, FRA, 13.18
Yuanjiang Chen, CHN, 13.18
Shunsuke Izumiya, JPN, 13.19
Michael Obasuyi, BEL, 13.19
Shusei Nomoto, JPN, 13.21
Tyler Mason, JAM, 13.22
Job Geerds, NED, 13.22
Zhuoyi Xu, CHN, 13.23
Hansle Parchment, JAM, 13.24
Junxi Liu, CHN, 13.24
Asier Martínez, ESP, 13.24
Louis François Mendy, SEN, 13.27
Erwann Cinna, FRA, 13.27
Jakub Szymański, POL, 13.28
John Adesola, RSA, 13.28
Tade Ojora, GBR, 13.30
Elie Bacari, BEL, 13.30
Jeremie Lararaudeuse, MRI, 13.31
Eduardo Rodrigues, BRA, 13.34
Saguirou Badamassi, NIG, 13.34
Antonio Alkana, RSA, 13.37
Oumar Doudai Abakar, QAT, 13.37
Damian Czykier, POL, 13.44
Mondray Barnard, RSA, 13.44
Manuel Mordi, GER, 13.46
Gregory Minoue, GER, 13.46
Thiago Resende Ornelas Dos Santos, BRA, 13.50
Tejas Shirse, IND, 13.51
Richard Diawara, MLI, 13.56
Amine Bouanani, ALG, 13.57
Usumane Djumo, GBS, 13.88
400 Meters Hurdles (Men)
Karsten Warholm, NOR, 46.28
Rai Benjamin, USA, 46.54
Alison Dos Santos, BRA, 46.65
Abderrahman Samba, QAT, 47.09
Ezekiel Nathaniel, NGR, 47.31
Caleb Dean, USA, 47.76
Chris Robinson, USA, 47.76
CJ Allen, USA, 48.00 (Alternate)
Owe Fischer-Breiholz, GER, 48.01
Roshawn Clarke, JAM, 48.02
Ismail Doudai Abakar, QAT, 48.04
Matheus Lima, BRA, 48.08
Emil Agyekum, GER, 48.21
Matic Ian Guček, SLO, 48.25
Malik James-King, JAM, 48.28
Alastair Chalmers, GBR, 48.30
İsmail Nezir, TUR, 48.33
Wiseman Were Mukhobe, KEN, 48.34
Bassem Hemeida, QAT, 48.38
Vít Müller, CZE, 48.41
Assinie Wilson, JAM, 48.42
Kemorena Tisang, BOT, 48.42
Seamus Derbyshire, GBR, 48.42
Alessandro Sibilio, ITA, 48.44
Jesús David Delgado, ESP, 48.45
Tyri Donovan, GBR, 48.46
Ken Toyoda, JPN, 48.55
Sabelo Dhlamini, RSA, 48.57
Daiki Ogawa, JPN, 48.61
Julien Bonvin, SUI, 48.66
Carl Bengtström, SWE, 48.72
Berke Akçam, TUR, 48.72
Dennick Luke, DMA, 48.82
Marc Anthony Ibrahim, LBN, 48.89
Oskar Edlund, SWE, 48.92
Francisco Guilherme Dos Reis Viana, BRA, 48.94
Patrik Dömötör, SVK, 48.94
Shunta Inoue, JPN, 48.99
Joshua Abuaku, GER, 49.02
Kyron McMaster, IVB, 49.07
Gerald Drummond, CRC, 49.08
Victor Ntweng, BOT, 49.20
Jun Jie Calvin Quek, SGP, 49.75
Akanye Francis, SKN, 51.56
Chi Chong Cheong, MAC, 51.91
Najimul Hossain Roni, BAN, 52.36
High Jump (Men) 
Sanghyeok Woo, KOR, 2.36
Oleh Doroshchuk, UKR, 2.34
Hamish Kerr, NZL, 2.36
Jan Štefela, CZE, 2.33
Yuto Seko, JPN, 2.33
